epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.7206269166302643,0.7666859030723572,0.004913568962365389,0.008756060153245926,0.0005
2,100.0,0.3021278108434775,0.9257687926292419,0.0054795388132333755,0.009621688164770603,0.0005
3,100.0,0.22829640864194195,0.4934360086917877,0.0031723645515739918,0.007024500519037247,0.0005
4,100.0,0.20253051977746095,0.6671491265296936,0.004989743698388338,0.00816791970282793,0.0005
5,100.0,0.18339998342238273,0.5060099959373474,0.0036383741535246372,0.0071134380996227264,0.0005
6,100.0,0.16679499847696552,0.4680444002151489,0.0031375763937830925,0.006841376889497042,0.0005
7,100.0,0.16026857051456087,0.3946879208087921,0.00309292646124959,0.006282419431954622,0.0005
8,100.0,0.14899414787776297,0.4972323775291443,0.00315078254789114,0.007051470689475536,0.0005
9,100.0,0.14087350596379064,0.4617258906364441,0.0032296418212354183,0.006795041728764772,0.0005
10,100.0,0.1360872795988063,0.5129533410072327,0.003330181585624814,0.0071620759554207325,0.0005
11,100.0,0.12941837326116576,0.44440892338752747,0.0031334469094872475,0.006666400004178286,0.0005
12,100.0,0.12432081997099839,0.4455580413341522,0.003157600061967969,0.006675013806670904,0.0005
13,100.0,0.1215190867262692,0.46394413709640503,0.0032589391339570284,0.006811344996094704,0.0005
14,100.0,0.1162403153338104,0.5197672247886658,0.0033989932853728533,0.007209488656371832,0.0005
15,100.0,0.1139065592425958,0.4753974676132202,0.003285130253061652,0.006894906982779503,0.0005
