epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,2.72542999612874,9.480158805847168,0.020971646532416344,0.030789868906140327,0.0005098483969585747
2,100.0,1.2047608034364108,4.410403251647949,0.010442827828228474,0.02100096084177494,0.0005098483969585747
3,100.0,0.9716190202482815,2.6371705532073975,0.008635674603283405,0.016239367425441742,0.0005098483969585747
4,100.0,0.819803472222953,2.077192783355713,0.006364115513861179,0.01441246923059225,0.0005098483969585747
5,100.0,0.7465564625016574,2.8663864135742188,0.008399073965847492,0.016930406913161278,0.0005098483969585747
6,100.0,0.637905153632164,1.9645763635635376,0.00638554897159338,0.014016334898769855,0.0005098483969585747
7,100.0,0.5973355817383733,1.6963136196136475,0.006044822745025158,0.013024261221289635,0.0005098483969585747
8,100.0,0.5664524540305138,1.7320796251296997,0.006314267870038748,0.01316084899008274,0.0005098483969585747
9,100.0,0.4968671093213147,2.8829526901245117,0.008003530092537403,0.016979260370135307,0.0005098483969585747
10,100.0,0.49212088168695056,2.4976487159729004,0.008917436003684998,0.015803949907422066,0.0005098483969585747
11,100.0,0.44776757750017887,1.7495026588439941,0.00604712450876832,0.013226876966655254,0.0005098483969585747
12,100.0,0.41140811746490413,2.0089235305786133,0.006416940595954657,0.014173649251461029,0.0005098483969585747
13,100.0,0.41423459607979346,1.7307363748550415,0.0062017785385251045,0.013155746273696423,0.0005098483969585747
14,100.0,0.39728659550691475,1.6448618173599243,0.006450071465224028,0.01282521616667509,0.0005098483969585747
15,100.0,0.40422681554638107,2.7484095096588135,0.007650202140212059,0.016578327864408493,0.0005098483969585747
