model,avg_MAE_mean,avg_RMSE_mean,avg_MAPE_percent_mean,std_MAE_mean,worst_MAE_mean,average_Skill_MAE_vs_persistence,average_MAE_improvement_vs_cpmlp,average_MAE_improvement_percent_vs_cpmlp,average_Skill_MAE_vs_cpmlp,horizons_evaluated,selected,selection_rule
cpmlp_cpdsconv_fusion,0.003946066451437223,0.0080330698794026,0.4582317001627563,0.002008112641376741,0.005366016517541147,0.7772183955836764,,,,2,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill
persistence,0.017301480628823758,0.03265562633767301,2.150223564388121,0.006973159418620461,0.02223224894002513,0.0,,,,2,False,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill
