scenario_name,lookback_cycles,horizon,model,val_RMSE_mean,val_RMSE_std,val_RMSE_min,val_RMSE_max,val_MAE_mean,val_MAE_std,val_MAE_min,val_MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,val_RMSE_gap_vs_persistence_mean,val_RMSE_gap_vs_persistence_std,val_RMSE_gap_vs_persistence_min,val_RMSE_gap_vs_persistence_max,val_MAE_gap_vs_persistence_mean,val_MAE_gap_vs_persistence_std,val_MAE_gap_vs_persistence_min,val_MAE_gap_vs_persistence_max,RMSE_gap_vs_persistence_mean,RMSE_gap_vs_persistence_std,RMSE_gap_vs_persistence_min,RMSE_gap_vs_persistence_max,MAE_gap_vs_persistence_mean,MAE_gap_vs_persistence_std,MAE_gap_vs_persistence_min,MAE_gap_vs_persistence_max,val_RMSE_ratio_vs_persistence_mean,val_RMSE_ratio_vs_persistence_std,val_RMSE_ratio_vs_persistence_min,val_RMSE_ratio_vs_persistence_max,RMSE_ratio_vs_persistence_mean,RMSE_ratio_vs_persistence_std,RMSE_ratio_vs_persistence_min,RMSE_ratio_vs_persistence_max,train_samples_mean,train_samples_std,train_samples_min,train_samples_max,val_samples_mean,val_samples_std,val_samples_min,val_samples_max,test_samples_mean,test_samples_std,test_samples_min,test_samples_max,n_trials
lookback_5_horizon_50,5,50,cpmlp_dsconv_fusion,0.0569790833614765,,0.0569790833614765,0.0569790833614765,0.0199447046650967,,0.0199447046650967,0.0199447046650967,0.0514045450262528,,0.0514045450262528,0.0514045450262528,0.0285692444718401,,0.0285692444718401,0.0285692444718401,-0.005628393664151202,,-0.005628393664151202,-0.005628393664151202,-0.0080231583480957,,-0.0080231583480957,-0.0080231583480957,-0.007519426102644,,-0.007519426102644,-0.007519426102644,-0.0089456380196952,,-0.0089456380196952,-0.0089456380196952,0.9101002958185445,,0.9101002958185445,0.9101002958185445,0.8723876555061916,,0.8723876555061916,0.8723876555061916,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
lookback_5_horizon_50,5,50,cpdsconv,0.0574400472287247,,0.0574400472287247,0.0574400472287247,0.01931088132883,,0.01931088132883,0.01931088132883,0.0501099852344848,,0.0501099852344848,0.0501099852344848,0.0279134283406955,,0.0279134283406955,0.0279134283406955,-0.005167429796903003,,-0.005167429796903003,-0.005167429796903003,-0.008656981684362401,,-0.008656981684362401,-0.008656981684362401,-0.008813985894412,,-0.008813985894412,-0.008813985894412,-0.009601454150839798,,-0.009601454150839798,-0.009601454150839798,0.9174630564527018,,0.9174630564527018,0.9174630564527018,0.8504176530273,,0.8504176530273,0.8504176530273,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
lookback_5_horizon_50,5,50,cpgru,0.0574642275611581,,0.0574642275611581,0.0574642275611581,0.0194252928941107,,0.0194252928941107,0.0194252928941107,0.0508386526744677,,0.0508386526744677,0.0508386526744677,0.0275632241606459,,0.0275632241606459,0.0275632241606459,-0.005143249464469604,,-0.005143249464469604,-0.005143249464469604,-0.008542570119081702,,-0.008542570119081702,-0.008542570119081702,-0.0080853184544291,,-0.0080853184544291,-0.0080853184544291,-0.009951658330889398,,-0.009951658330889398,-0.009951658330889398,0.9178492776132111,,0.9178492776132111,0.9178492776132111,0.8627838840538703,,0.8627838840538703,0.8627838840538703,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
lookback_5_horizon_50,5,50,persistence,0.0626074770256277,,0.0626074770256277,0.0626074770256277,0.0279678630131924,,0.0279678630131924,0.0279678630131924,0.0589239711288968,,0.0589239711288968,0.0589239711288968,0.0375148824915353,,0.0375148824915353,0.0375148824915353,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,9891.0,,9891,9891,2121.0,,2121,2121,2121.0,,2121,2121,1
lookback_5_horizon_100,5,100,cpmlp_dsconv_fusion,0.0790599301636944,,0.0790599301636944,0.0790599301636944,0.0311320250245475,,0.0311320250245475,0.0311320250245475,0.0829594788453801,,0.0829594788453801,0.0829594788453801,0.0495806362272445,,0.0495806362272445,0.0495806362272445,-0.02434387389322519,,-0.02434387389322519,-0.02434387389322519,-0.0180489710764376,,-0.0180489710764376,-0.0180489710764376,-0.026449378933889392,,-0.026449378933889392,-0.026449378933889392,-0.020967034029559906,,-0.020967034029559906,-0.020967034029559906,0.7645746777379208,,0.7645746777379208,0.7645746777379208,0.7582519416549384,,0.7582519416549384,0.7582519416549384,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
lookback_5_horizon_100,5,100,cpmlp_cpgru_fusion,0.0798169909146145,,0.0798169909146145,0.0798169909146145,0.0311209251847149,,0.0311209251847149,0.0311209251847149,0.0846474765709719,,0.0846474765709719,0.0846474765709719,0.050766339406887,,0.050766339406887,0.050766339406887,-0.023586813142305096,,-0.023586813142305096,-0.023586813142305096,-0.0180600709162702,,-0.0180600709162702,-0.0180600709162702,-0.0247613812082976,,-0.0247613812082976,-0.0247613812082976,-0.019781330849917407,,-0.019781330849917407,-0.019781330849917407,0.7718960790908475,,0.7718960790908475,0.7718960790908475,0.7736802877674378,,0.7736802877674378,0.7736802877674378,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
lookback_5_horizon_100,5,100,cpmlp,0.0807693283782729,,0.0807693283782729,0.0807693283782729,0.0304683622438226,,0.0304683622438226,0.0304683622438226,0.0835371683629591,,0.0835371683629591,0.0835371683629591,0.0493412786245166,,0.0493412786245166,0.0493412786245166,-0.022634475678646696,,-0.022634475678646696,-0.022634475678646696,-0.0187126338571625,,-0.0187126338571625,-0.0187126338571625,-0.025871689416310392,,-0.025871689416310392,-0.025871689416310392,-0.021206391632287803,,-0.021206391632287803,-0.021206391632287803,0.7811059671829159,,0.7811059671829159,0.7811059671829159,0.7635320398965677,,0.7635320398965677,0.7635320398965677,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
lookback_5_horizon_100,5,100,cpmlp_cpdsconv_fusion,0.0817768889190547,,0.0817768889190547,0.0817768889190547,0.0313524471206157,,0.0313524471206157,0.0313524471206157,0.083689684934144,,0.083689684934144,0.083689684934144,0.0502201757476488,,0.0502201757476488,0.0502201757476488,-0.021626915137864897,,-0.021626915137864897,-0.021626915137864897,-0.017828548980369403,,-0.017828548980369403,-0.017828548980369403,-0.025719172845125496,,-0.025719172845125496,-0.025719172845125496,-0.0203274945091556,,-0.0203274945091556,-0.0203274945091556,0.7908499079399424,,0.7908499079399424,0.7908499079399424,0.7649260455948321,,0.7649260455948321,0.7649260455948321,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
lookback_5_horizon_100,5,100,cpgru,0.0908383839571387,,0.0908383839571387,0.0908383839571387,0.0317676838803279,,0.0317676838803279,0.0317676838803279,0.0897022275492826,,0.0897022275492826,0.0897022275492826,0.0509125340189756,,0.0509125340189756,0.0509125340189756,-0.0125654200997809,,-0.0125654200997809,-0.0125654200997809,-0.0174133122206572,,-0.0174133122206572,-0.0174133122206572,-0.019706630229986893,,-0.019706630229986893,-0.019706630229986893,-0.019635136237828803,,-0.019635136237828803,-0.019635136237828803,0.8784820325095183,,0.8784820325095183,0.8784820325095183,0.8198808521541767,,0.8198808521541767,0.8198808521541767,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
lookback_5_horizon_100,5,100,cpdsconv,0.0926336340413666,,0.0926336340413666,0.0926336340413666,0.0313747143676636,,0.0313747143676636,0.0313747143676636,0.0932173685369725,,0.0932173685369725,0.0932173685369725,0.0513811568616026,,0.0513811568616026,0.0513811568616026,-0.010770170015552999,,-0.010770170015552999,-0.010770170015552999,-0.0178062817333215,,-0.0178062817333215,-0.0178062817333215,-0.01619148924229699,,-0.01619148924229699,-0.01619148924229699,-0.019166513395201805,,-0.019166513395201805,-0.019166513395201805,0.8958435802842953,,0.8958435802842953,0.8958435802842953,0.8520093384489669,,0.8520093384489669,0.8520093384489669,9301.0,,9301,9301,1993.0,,1993,1993,1993.0,,1993,1993,1
