epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.6870249131625227,0.4933314323425293,0.003818529425188899,0.007023755460977554,0.0008257294078684037
2,100.0,0.3937061915959507,0.30708712339401245,0.0028786188922822475,0.005541543941944838,0.0008257294078684037
3,100.0,0.32512827421597207,0.8480851650238037,0.005836362484842539,0.00920915324240923,0.0008257294078684037
4,100.0,0.2655009331365202,0.301679790019989,0.002879580482840538,0.005492538679391146,0.0008257294078684037
5,100.0,0.24538287508071238,0.30777671933174133,0.0027924133464694023,0.005547762382775545,0.0008257294078684037
6,100.0,0.2193527646898405,0.35702356696128845,0.0037801044527441263,0.005975144915282726,0.0008257294078684037
7,100.0,0.2092158195227144,0.34116309881210327,0.0029722012113779783,0.005840917117893696,0.0008257294078684037
8,100.0,0.19387107631357112,0.349837064743042,0.0029783009085804224,0.005914702545851469,0.0008257294078684037
9,100.0,0.18594337936629193,0.33861106634140015,0.0029225132893770933,0.00581902964040637,0.0008257294078684037
10,100.0,0.17576905658020245,0.37701505422592163,0.0033041443675756454,0.006140155717730522,0.0008257294078684037
11,100.0,0.1665981677578994,0.6127687096595764,0.004466611426323652,0.00782795436680317,0.0008257294078684037
12,100.0,0.16152342614719287,0.40747955441474915,0.003887131344527006,0.006383412517607212,0.0008257294078684037
13,100.0,0.1596999482698558,0.4548839032649994,0.00333386124111712,0.0067445081658661366,0.0008257294078684037
14,100.0,0.15259963828733308,0.6469362378120422,0.0055756582878530025,0.00804323423653841,0.0008257294078684037
15,100.0,0.1462530742169197,0.3696170747280121,0.0038064292166382074,0.006079613696783781,0.0008257294078684037
16,100.0,0.14637110586938643,0.3445097804069519,0.00287820165976882,0.005869495216757059,0.0008257294078684037
17,100.0,0.13845297889347655,0.3599627614021301,0.0035340881440788507,0.00599968945607543,0.0008257294078684037
