epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.7552318805061365,0.5535658001899719,0.004221290349960327,0.007440200075507164,0.0008170387533083236
2,100.0,0.38070029396449423,0.39822259545326233,0.003387537319213152,0.006310488097369671,0.0008170387533083236
3,100.0,0.29140607045244227,0.3968035876750946,0.0034171445295214653,0.006299234926700592,0.0008170387533083236
4,100.0,0.24187374843799048,0.3402137756347656,0.002944087376818061,0.0058327848091721535,0.0008170387533083236
5,100.0,0.20741936843240444,0.36280548572540283,0.0032053468748927116,0.006023333873599768,0.0008170387533083236
6,100.0,0.18265255468089572,0.3726123869419098,0.0032025279942899942,0.006104198284447193,0.0008170387533083236
7,100.0,0.16949733018104787,0.3544760048389435,0.003037424059584737,0.005953788757324219,0.0008170387533083236
8,100.0,0.15989970535744036,0.34087300300598145,0.0030850600451231003,0.005838432814925909,0.0008170387533083236
9,100.0,0.1479196203661923,0.3213154375553131,0.0029526781290769577,0.005668469239026308,0.0008170387533083236
10,100.0,0.13749897181807216,0.33705654740333557,0.0029340959154069424,0.0058056567795574665,0.0008170387533083236
11,100.0,0.13136759236069798,0.3142401874065399,0.0027894037775695324,0.005605712998658419,0.0008170387533083236
12,100.0,0.1300314233242647,0.42089536786079407,0.0034644324332475662,0.0064876447431743145,0.0008170387533083236
13,100.0,0.1210786354937177,0.2835753560066223,0.002688287291675806,0.00532517908141017,0.0008170387533083236
14,100.0,0.12036858658834401,0.30566278100013733,0.0027994392439723015,0.005528677720576525,0.0008170387533083236
15,100.0,0.11633414212954328,0.26826074719429016,0.0026412575971335173,0.005179389845579863,0.0008170387533083236
16,100.0,0.11196167001678264,0.4370458126068115,0.0033540239091962576,0.006610944401472807,0.0008170387533083236
17,100.0,0.10871863969855962,0.2782617211341858,0.0027151359245181084,0.005275051575154066,0.0008170387533083236
18,100.0,0.1078580138055376,0.28908777236938477,0.002792063867673278,0.005376688204705715,0.0008170387533083236
19,100.0,0.10642903610185295,0.288047730922699,0.002730982843786478,0.005367007572203875,0.0008170387533083236
20,100.0,0.10343160554586107,0.292018860578537,0.0027174600400030613,0.005403876770287752,0.0008170387533083236
21,100.0,0.10214478565870463,0.31296488642692566,0.002879110164940357,0.00559432664886117,0.0008170387533083236
22,100.0,0.10139087270584216,0.35696685314178467,0.003021078184247017,0.00597467040643096,0.0008170387533083236
23,100.0,0.10065198577158092,0.2863645553588867,0.002837162697687745,0.005351304076611996,0.0008170387533083236
24,100.0,0.09794218031168947,0.2727891504764557,0.002678433433175087,0.005222922191023827,0.0008170387533083236
25,100.0,0.09712642505133046,0.3717169165611267,0.003296132665127516,0.006096858996897936,0.0008170387533083236
26,100.0,0.09542697107326088,0.28495272994041443,0.0027115079574286938,0.005338096525520086,0.0008170387533083236
27,100.0,0.09517311141262003,0.28386151790618896,0.0027415186632424593,0.005327865481376648,0.0008170387533083236
