epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,2.5383088029669345,2.203141212463379,0.006711007095873356,0.014842982403934002,0.00043281262440769485
2,100.0,0.9702766593923239,2.0718960762023926,0.006798010319471359,0.014394083060324192,0.00043281262440769485
3,100.0,0.7666255795472378,1.8286789655685425,0.006482685916125774,0.013522865250706673,0.00043281262440769485
4,100.0,0.6509065037605831,1.7926726341247559,0.006266607437282801,0.013389073312282562,0.00043281262440769485
5,100.0,0.5322991364125816,1.5234732627868652,0.006286573596298695,0.012342906557023525,0.00043281262440769485
6,100.0,0.47444315913536056,1.9627078771591187,0.007310928776860237,0.014009668491780758,0.00043281262440769485
7,100.0,0.42647740971045317,1.6790680885314941,0.006718259304761887,0.01295788586139679,0.00043281262440769485
8,100.0,0.39525028466045653,1.6819274425506592,0.006444718688726425,0.01296891551464796,0.00043281262440769485
9,100.0,0.35855145583785064,1.7405078411102295,0.006456480361521244,0.013192829675972462,0.00043281262440769485
10,100.0,0.3343143624322791,1.52639901638031,0.0061204503290355206,0.01235475204885006,0.00043281262440769485
11,100.0,0.31133834855328946,1.7213642597198486,0.006561598274856806,0.013120077550411224,0.00043281262440769485
12,100.0,0.29325182561611607,1.6439391374588013,0.006431398447602987,0.012821617536246777,0.00043281262440769485
13,100.0,0.29163410098644327,1.6700891256332397,0.006499721668660641,0.012923192232847214,0.00043281262440769485
14,100.0,0.28037298966287255,1.8950672149658203,0.006819610949605703,0.013766143471002579,0.00043281262440769485
15,100.0,0.2652718522176902,1.5675444602966309,0.006240896414965391,0.012520160526037216,0.00043281262440769485
16,100.0,0.24642324817958414,1.5902156829833984,0.0061743962578475475,0.012610375881195068,0.00043281262440769485
17,100.0,0.245825745671912,1.685815691947937,0.006385113578289747,0.012983896769583225,0.00043281262440769485
18,100.0,0.2402368428884074,1.7195309400558472,0.006580647546797991,0.013113089837133884,0.00043281262440769485
19,100.0,0.23147968349449738,1.6540086269378662,0.006368950475007296,0.012860826216638088,0.00043281262440769485
20,100.0,0.2213834330968156,1.607276439666748,0.006208723410964012,0.012677840888500214,0.00043281262440769485
21,100.0,0.21818673661029017,1.5519318580627441,0.006114276126027107,0.012457655742764473,0.00043281262440769485
22,100.0,0.20612120492748814,1.6313937902450562,0.006337253376841545,0.012772602960467339,0.00043281262440769485
23,100.0,0.20844217980393787,1.4861444234848022,0.006048628129065037,0.012190751731395721,0.00043281262440769485
24,100.0,0.20199276893273801,1.4841797351837158,0.005889787804335356,0.012182692065834999,0.00043281262440769485
25,100.0,0.1970665519364883,1.6096091270446777,0.006314515136182308,0.012687037698924541,0.00043281262440769485
26,100.0,0.19607402982876157,1.644805669784546,0.006219122558832169,0.012824997305870056,0.00043281262440769485
27,100.0,0.19243770066610966,1.6969600915908813,0.0064758374355733395,0.01302674226462841,0.00043281262440769485
28,100.0,0.18863532725230767,1.6222103834152222,0.006578804925084114,0.012736601755023003,0.00043281262440769485
29,100.0,0.1816600448974232,1.4041131734848022,0.005888629239052534,0.011849528178572655,0.00043281262440769485
30,100.0,0.1849938207699263,1.4861289262771606,0.0058863162994384766,0.012190688401460648,0.00043281262440769485
31,100.0,0.17737453799487116,1.57692289352417,0.006242023315280676,0.01255755964666605,0.00043281262440769485
32,100.0,0.17666154158792483,1.5260080099105835,0.005978635977953672,0.012353170663118362,0.00043281262440769485
33,100.0,0.17108181609797316,1.4696723222732544,0.006008671130985022,0.012123004533350468,0.00043281262440769485
34,100.0,0.1683435868865156,1.58206045627594,0.0061205001547932625,0.012577998451888561,0.00043281262440769485
35,100.0,0.16816176505400673,1.496558427810669,0.006335585378110409,0.012233389541506767,0.00043281262440769485
36,100.0,0.1659896424247858,1.5060112476348877,0.006029892712831497,0.01227196492254734,0.00043281262440769485
37,100.0,0.1631438986593354,1.6657465696334839,0.0062245880253612995,0.012906379997730255,0.00043281262440769485
38,100.0,0.16384776528591188,1.6364082098007202,0.006209834013134241,0.012792217545211315,0.00043281262440769485
39,100.0,0.1599888610197357,1.6391726732254028,0.006290253717452288,0.012803017161786556,0.00043281262440769485
40,100.0,0.16057138876184016,1.618180274963379,0.0062403432093560696,0.012720771133899689,0.00043281262440769485
41,100.0,0.15673090689784117,1.47386634349823,0.006047914270311594,0.012140289880335331,0.00043281262440769485
42,100.0,0.15695596069751963,1.6445010900497437,0.006241200491786003,0.012823810800909996,0.00043281262440769485
