epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.8096214571609636,0.6874997615814209,0.004896992817521095,0.008291560225188732,0.0005200425717300329
2,100.0,0.39447390462643495,0.3621149957180023,0.00314065208658576,0.006017598789185286,0.0005200425717300329
3,100.0,0.3150011965815393,0.3402889370918274,0.0029480813536792994,0.005833429284393787,0.0005200425717300329
4,100.0,0.2667338389042699,0.3510609269142151,0.0031065940856933594,0.005925039295107126,0.0005200425717300329
5,100.0,0.22782621095152586,0.3862883150577545,0.003675683168694377,0.006215209607034922,0.0005200425717300329
6,100.0,0.21846705834006647,0.3648397624492645,0.003527199849486351,0.006040196865797043,0.0005200425717300329
7,100.0,0.20234487112461078,0.4947938024997711,0.003453200915828347,0.007034157868474722,0.0005200425717300329
8,100.0,0.19021754244249164,0.28400224447250366,0.0026806192472577095,0.005329186096787453,0.0005200425717300329
9,100.0,0.180537765132495,0.33465376496315,0.00291444337926805,0.005784926936030388,0.0005200425717300329
10,100.0,0.17290592071433253,0.35982030630111694,0.003124254522845149,0.0059985024854540825,0.0005200425717300329
11,100.0,0.16413498137850369,0.3129046857357025,0.0029838443733751774,0.005593788344413042,0.0005200425717300329
12,100.0,0.15423507075485968,0.302273154258728,0.0028634241316467524,0.005497937556356192,0.0005200425717300329
13,100.0,0.15589744443004658,0.29826557636260986,0.0026812064461410046,0.005461369641125202,0.0005200425717300329
14,100.0,0.14701156927233558,0.3083092272281647,0.0028649058658629656,0.0055525596253573895,0.0005200425717300329
15,100.0,0.14382837692302725,0.34976932406425476,0.0030650831758975983,0.0059141297824680805,0.0005200425717300329
16,100.0,0.14136409550688572,0.3582243323326111,0.0028992430306971073,0.005985184106975794,0.0005200425717300329
17,100.0,0.13559185705705876,0.31182360649108887,0.002780170412734151,0.00558411655947566,0.0005200425717300329
18,100.0,0.13161911339963966,0.32457423210144043,0.003229270689189434,0.0056971414014697075,0.0005200425717300329
19,100.0,0.1333773791525206,0.400393009185791,0.003207047702744603,0.00632766168564558,0.0005200425717300329
20,100.0,0.13088144580133992,0.2852739095687866,0.0029961264226585627,0.00534110376611352,0.0005200425717300329
