epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.6929201081535837,0.5274249315261841,0.003584529273211956,0.007262403145432472,0.0005916560570546164
2,100.0,0.32264795634429533,0.7710602879524231,0.004085560794919729,0.008781003765761852,0.0005916560570546164
3,100.0,0.2626093066642596,0.6156662702560425,0.0034465491771698,0.007846441119909286,0.0005916560570546164
4,100.0,0.22706855322658592,0.5596469044685364,0.0034532668069005013,0.007480954751372337,0.0005916560570546164
5,100.0,0.21089477476720309,0.4845849871635437,0.003362882649526,0.006961213890463114,0.0005916560570546164
6,100.0,0.19635218179057096,0.5842106342315674,0.0035275707487016916,0.007643366698175669,0.0005916560570546164
7,100.0,0.18501029113918707,0.5354153513908386,0.0033188974484801292,0.007317208219319582,0.0005916560570546164
8,100.0,0.17351932038884993,0.5093464255332947,0.003203924745321274,0.007136851083487272,0.0005916560570546164
9,100.0,0.1623635741037168,0.5814191102981567,0.003700516652315855,0.007625084836035967,0.0005916560570546164
10,100.0,0.16023899836247357,0.5537970662117004,0.00350124086253345,0.007441754452884197,0.0005916560570546164
11,100.0,0.15430144107014668,0.4913463294506073,0.003292159177362919,0.00700960960239172,0.0005916560570546164
12,100.0,0.14771403540526667,0.49149414896965027,0.0032883137464523315,0.0070106652565300465,0.0005916560570546164
13,100.0,0.14235048804704736,0.5441697835922241,0.003370936494320631,0.007376787252724171,0.0005916560570546164
14,100.0,0.13632840338807165,0.5589419007301331,0.003488286165520549,0.007476241793483496,0.0005916560570546164
15,100.0,0.13442479404324062,0.5148767828941345,0.0033074645325541496,0.0071754916571080685,0.0005916560570546164
16,100.0,0.13072062695998315,0.48823970556259155,0.0032130316831171513,0.006987414788454771,0.0005916560570546164
17,100.0,0.12663368063441746,0.4457801580429077,0.003197317011654377,0.006676677148789167,0.0005916560570546164
18,100.0,0.12678199174816124,0.4640612006187439,0.0031808444764465094,0.006812203675508499,0.0005916560570546164
19,100.0,0.12172456705146986,0.44968381524086,0.0031286226585507393,0.006705847103148699,0.0005916560570546164
20,100.0,0.120913780808015,0.48033785820007324,0.0031347915064543486,0.0069306413643062115,0.0005916560570546164
21,100.0,0.11813687453783585,0.4893192946910858,0.0031838135328143835,0.006995136383920908,0.0005916560570546164
22,100.0,0.11926897300076088,0.5236889719963074,0.003315897658467293,0.0072366357780992985,0.0005916560570546164
23,100.0,0.11672554439172605,0.5554365515708923,0.003305448219180107,0.007452761754393578,0.0005916560570546164
24,100.0,0.11536116944442787,0.5342592597007751,0.0033137535210698843,0.007309304550290108,0.0005916560570546164
25,100.0,0.11293754865210957,0.4410976767539978,0.003049765480682254,0.006641518324613571,0.0005916560570546164
26,100.0,0.1132256892926692,0.4554532468318939,0.0030758751090615988,0.006748727988451719,0.0005916560570546164
27,100.0,0.11132070713073461,0.45289307832717896,0.0030430746264755726,0.006729733198881149,0.0005916560570546164
28,100.0,0.10914318506216834,0.5032399892807007,0.003246166743338108,0.007093940395861864,0.0005916560570546164
29,100.0,0.10698135160818333,0.49234727025032043,0.0032680050935596228,0.007016745861619711,0.0005916560570546164
30,100.0,0.10837128991151213,0.5699697732925415,0.003381541930139065,0.007549634203314781,0.0005916560570546164
31,100.0,0.1061804690423922,0.53077232837677,0.0032204673625528812,0.007285411935299635,0.0005916560570546164
32,100.0,0.10495994167796605,0.5082230567932129,0.003263769904151559,0.007128976285457611,0.0005916560570546164
33,100.0,0.10433837427903497,0.4300215542316437,0.0031424593180418015,0.006557602901011705,0.0005916560570546164
34,100.0,0.10315885647682929,0.46999654173851013,0.003059450536966324,0.00685562938451767,0.0005916560570546164
35,100.0,0.1029478607539536,0.49749231338500977,0.0031619819346815348,0.0070533137768507,0.0005916560570546164
36,100.0,0.10295580377997164,0.5356037020683289,0.003214354394003749,0.007318495307117701,0.0005916560570546164
37,100.0,0.10053153399650644,0.5077812075614929,0.003250100649893284,0.007125876843929291,0.0005916560570546164
38,100.0,0.10033168361751607,0.4233214855194092,0.0029814455192536116,0.006506315898150206,0.0005916560570546164
39,100.0,0.10013985367642787,0.49389785528182983,0.0032145397271960974,0.00702778622508049,0.0005916560570546164
40,100.0,0.09972859910131673,0.4637383222579956,0.003080701222643256,0.006809833459556103,0.0005916560570546164
41,100.0,0.09679121896624565,0.4585323631763458,0.003202952677384019,0.006771502085030079,0.0005916560570546164
42,100.0,0.09675510516822526,0.5057349801063538,0.003299000207334757,0.007111504673957825,0.0005916560570546164
43,100.0,0.09776594970568744,0.4505741000175476,0.0030118306167423725,0.0067124818451702595,0.0005916560570546164
44,100.0,0.09601832687104433,0.4908578395843506,0.0030827003065496683,0.007006125058978796,0.0005916560570546164
45,100.0,0.09637014584412122,0.5115931034088135,0.0032079871743917465,0.007152573671191931,0.0005916560570546164
46,100.0,0.09522985222798507,0.5485367774963379,0.0032221032306551933,0.007406326942145824,0.0005916560570546164
47,100.0,0.09571318406564785,0.5111005306243896,0.0031924345530569553,0.007149129640311003,0.0005916560570546164
48,100.0,0.09405570792988306,0.48203909397125244,0.0031941605266183615,0.006942903622984886,0.0005916560570546164
49,100.0,0.09070653539007335,0.5049470663070679,0.003133040852844715,0.007105962838977575,0.0005916560570546164
50,100.0,0.09231843878342869,0.5132383704185486,0.0032538436353206635,0.0071640657261013985,0.0005916560570546164
