model,avg_MAE_mean,avg_RMSE_mean,avg_MAPE_percent_mean,std_MAE_mean,worst_MAE_mean,average_Skill_MAE_vs_persistence,average_MAE_improvement_vs_cpmlp,average_MAE_improvement_percent_vs_cpmlp,average_Skill_MAE_vs_cpmlp,horizons_evaluated,selected,selection_rule
cpmlp_cpdsconv_fusion,0.00412724351234926,0.008974186929095084,0.5017461050385567,0.00199331586934336,0.005536730680608708,0.7731445184503698,7.940568873464765e-05,2.0849451705584383,0.020849451705584388,2,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill
cpmlp,0.004206649201083908,0.008835412379910245,0.4983149796447145,0.001998102922554125,0.005619521327130589,0.7682355725462334,0.0,0.0,0.0,2,False,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill
persistence,0.017846643952423615,0.03368429751028601,2.2350656242780813,0.007119542526854965,0.022880920752108767,0.0,-0.013639994751339705,-333.32483812227315,-3.333248381222732,2,False,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill
