epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.6417162459199234,0.5023449063301086,0.0037881359457969666,0.007087629288434982,0.0003164721468955791
2,100.0,0.32975286112944796,0.3349529802799225,0.002991510322317481,0.0057875122874975204,0.0003164721468955791
3,100.0,0.2426012101401131,0.384227991104126,0.0029468811117112637,0.0061986129730939865,0.0003164721468955791
4,100.0,0.2051586651172555,0.3653148412704468,0.0030432064086198807,0.006044127978384495,0.0003164721468955791
5,100.0,0.1904413810237544,0.32591700553894043,0.0028595083858817816,0.005708914250135422,0.0003164721468955791
6,100.0,0.17099015442097804,0.2968257665634155,0.0026669856160879135,0.005448171868920326,0.0003164721468955791
7,100.0,0.15591117699204768,0.37006622552871704,0.003147296840324998,0.006083306856453419,0.0003164721468955791
8,100.0,0.14903960132486938,0.2861323952674866,0.002671239897608757,0.005349134560674429,0.0003164721468955791
9,100.0,0.1425251812404789,0.28432655334472656,0.002755002351477742,0.005332227796316147,0.0003164721468955791
10,100.0,0.13475464927769823,0.32642287015914917,0.0028939759358763695,0.005713343154639006,0.0003164721468955791
11,100.0,0.1272920082234484,0.2898959815502167,0.002655666321516037,0.005384199321269989,0.0003164721468955791
12,100.0,0.12257744553792313,0.29687994718551636,0.0026818751357495785,0.005448669195175171,0.0003164721468955791
13,100.0,0.11861143501773357,0.42774948477745056,0.003316764486953616,0.0065402560867369175,0.0003164721468955791
14,100.0,0.11392981198545611,0.2982272207736969,0.002754629822447896,0.005461018066853285,0.0003164721468955791
15,100.0,0.11003566485331642,0.26739707589149475,0.00258570141158998,0.005171045195311308,0.0003164721468955791
16,100.0,0.10960166281471345,0.3122784495353699,0.0027879795525223017,0.005588187836110592,0.0003164721468955791
17,100.0,0.10779622984938744,0.29279616475105286,0.002717169700190425,0.005411064252257347,0.0003164721468955791
18,100.0,0.10380639158857322,0.3432613015174866,0.0032199423294514418,0.005858851131051779,0.0003164721468955791
19,100.0,0.10124199299189911,0.28643736243247986,0.002678626449778676,0.005351983942091465,0.0003164721468955791
20,100.0,0.0987551201207139,0.2627144455909729,0.0025744575541466475,0.005125567317008972,0.0003164721468955791
21,100.0,0.09742428894833284,0.2545885145664215,0.00259235966950655,0.005045676603913307,0.0003164721468955791
22,100.0,0.0966659776463214,0.3002527952194214,0.0027900447603315115,0.0054795327596366405,0.0003164721468955791
23,100.0,0.0929805319996999,0.2735231816768646,0.002690670546144247,0.005229944363236427,0.0003164721468955791
24,100.0,0.09331364054774477,0.2678680121898651,0.0025835162959992886,0.005175596568733454,0.0003164721468955791
25,100.0,0.09158936353935973,0.2564809024333954,0.002504948293790221,0.005064394325017929,0.0003164721468955791
26,100.0,0.09081021691063157,0.29582223296165466,0.002829699544236064,0.0054389541037380695,0.0003164721468955791
27,100.0,0.09031840465640911,0.28655877709388733,0.0026386065874248743,0.005353118292987347,0.0003164721468955791
28,100.0,0.08872690734036737,0.26407957077026367,0.0025352363009005785,0.005138867534697056,0.0003164721468955791
29,100.0,0.08648608014159061,0.26392170786857605,0.0025034239515662193,0.005137331318110228,0.0003164721468955791
30,100.0,0.08650018539737085,0.33010604977607727,0.0028627512510865927,0.005745485424995422,0.0003164721468955791
31,100.0,0.08539822931071933,0.2756015658378601,0.0028484566137194633,0.005249776877462864,0.0003164721468955791
32,100.0,0.08441351493745321,0.247037872672081,0.0024792440235614777,0.00497029023244977,0.0003164721468955791
33,100.0,0.08248956916366308,0.30845749378204346,0.002892700955271721,0.005553894676268101,0.0003164721468955791
34,100.0,0.08282770964456948,0.2644701600074768,0.002474966924637556,0.005142666399478912,0.0003164721468955791
35,100.0,0.08046995987288161,0.28760090470314026,0.002734291134402156,0.005362843628972769,0.0003164721468955791
36,100.0,0.08003650327560662,0.24847200512886047,0.0025426456704735756,0.004984696861356497,0.0003164721468955791
37,100.0,0.08007234038998748,0.29812973737716675,0.00272137438878417,0.005460125859826803,0.0003164721468955791
38,100.0,0.07893598905195796,0.2721734344959259,0.002691386267542839,0.005217024590820074,0.0003164721468955791
39,100.0,0.07893370068143084,0.26642805337905884,0.0025340174324810505,0.00516166677698493,0.0003164721468955791
40,100.0,0.0771033374369987,0.29065990447998047,0.0028752086218446493,0.005391288548707962,0.0003164721468955791
41,100.0,0.07491228903789729,0.26055964827537537,0.002530679339542985,0.0051045045256614685,0.0003164721468955791
42,100.0,0.07656857228998895,0.26426997780799866,0.0025452016852796078,0.005140719469636679,0.0003164721468955791
43,100.0,0.07599297967349722,0.2828480005264282,0.002604500623419881,0.005318345967680216,0.0003164721468955791
44,100.0,0.07657085681448485,0.27954164147377014,0.002728877356275916,0.005287169944494963,0.0003164721468955791
45,100.0,0.07492792480121184,0.27632319927215576,0.0025673017371445894,0.005256645381450653,0.0003164721468955791
46,100.0,0.07416210069527221,0.3261682689189911,0.0029771283734589815,0.005711114499717951,0.0003164721468955791
