epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,3.348138298707547,6.961709022521973,0.01456285361200571,0.026385050266981125,0.00011963764382790327
2,100.0,1.154899728732751,1.8891174793243408,0.006614999379962683,0.013744517229497433,0.00011963764382790327
3,100.0,0.9341160312770665,2.9125592708587646,0.008395127020776272,0.017066221684217453,0.00011963764382790327
4,100.0,0.8064418436189579,2.945559024810791,0.008177968673408031,0.017162630334496498,0.00011963764382790327
5,100.0,0.6884376843161785,2.597832679748535,0.007855900563299656,0.016117792576551437,0.00011963764382790327
6,100.0,0.6117499217815292,1.7239415645599365,0.006569978781044483,0.01312989555299282,0.00011963764382790327
7,100.0,0.5720435572053668,2.6011877059936523,0.007729468401521444,0.01612819731235504,0.00011963764382790327
8,100.0,0.5355222659881409,2.0156915187835693,0.006898950319737196,0.014197505079209805,0.00011963764382790327
9,100.0,0.5053306227683301,2.1911118030548096,0.007514577358961105,0.01480240561068058,0.00011963764382790327
10,100.0,0.4867388135058495,2.262644052505493,0.007341301999986172,0.015042087994515896,0.00011963764382790327
11,100.0,0.4550657482549381,2.230400562286377,0.007378589827567339,0.014934525825083256,0.00011963764382790327
12,100.0,0.4424280837383941,1.997869849205017,0.006869844626635313,0.014134601689875126,0.00011963764382790327
13,100.0,0.4242151712065015,2.2589268684387207,0.007241618353873491,0.01502972561866045,0.00011963764382790327
14,100.0,0.4077875316978735,2.4259467124938965,0.0070442636497318745,0.015575451776385307,0.00011963764382790327
