epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,2.929488009317168,3.234173059463501,0.010244240052998066,0.017983807250857353,0.0005
2,100.0,1.1227875012262114,1.6664705276489258,0.006384058389812708,0.012909184210002422,0.0005
3,100.0,0.8436249894314799,1.7269957065582275,0.006985880434513092,0.013141520321369171,0.0005
4,100.0,0.659997159473855,1.7190861701965332,0.006368305999785662,0.013111392967402935,0.0005
5,100.0,0.530317674294628,1.4644017219543457,0.00615911977365613,0.012101246975362301,0.0005
6,100.0,0.49900771491229534,1.6187739372253418,0.006073693744838238,0.0127231040969491,0.0005
7,100.0,0.43944695250227533,1.650535225868225,0.006377044133841991,0.012847315520048141,0.0005
8,100.0,0.3841458463591748,1.293397307395935,0.0058094169944524765,0.011372762732207775,0.0005
9,100.0,0.35714459979328617,1.772987961769104,0.006363726686686277,0.013315360061824322,0.0005
10,100.0,0.34037272571746646,1.3315798044204712,0.005892716348171234,0.01153940986841917,0.0005
11,100.0,0.3131963851765312,1.849352240562439,0.006602839566767216,0.013599088415503502,0.0005
12,100.0,0.30295528923643045,1.2962393760681152,0.0055879526771605015,0.011385250836610794,0.0005
13,100.0,0.2836067630556123,1.6789499521255493,0.006581554654985666,0.012957431375980377,0.0005
14,100.0,0.26831378777479303,1.397740364074707,0.005891624838113785,0.01182260736823082,0.0005
15,100.0,0.2608823570069568,1.420377492904663,0.005745291244238615,0.011917958967387676,0.0005
16,100.0,0.25973235897976776,1.5216220617294312,0.0058997455053031445,0.012335403822362423,0.0005
17,100.0,0.25046143204230686,1.3515361547470093,0.005673738196492195,0.011625559069216251,0.0005
18,100.0,0.2387572699836616,1.226019263267517,0.005648143123835325,0.011072575114667416,0.0005
19,100.0,0.22673622387750395,1.2870780229568481,0.005698242224752903,0.01134494598954916,0.0005
20,100.0,0.22176661269161208,1.6600364446640015,0.006128395441919565,0.012884239666163921,0.0005
