epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,0.6008713019106038,0.5233259797096252,0.0038934904150664806,0.007234127260744572,0.0007940871797318316
2,100.0,0.3425487471512716,0.4326441287994385,0.003265900770202279,0.006577568594366312,0.0007940871797318316
3,100.0,0.26367954148494177,1.1880041360855103,0.006907412316650152,0.010899560526013374,0.0007940871797318316
4,100.0,0.22625031430569142,0.5347447991371155,0.0038408925756812096,0.007312624715268612,0.0007940871797318316
5,100.0,0.20289214118496668,0.28719571232795715,0.0027995447162538767,0.005359064321964979,0.0007940871797318316
6,100.0,0.18293587413882786,0.27838075160980225,0.0026845831889659166,0.005276179872453213,0.0007940871797318316
7,100.0,0.17466806439360866,0.34786543250083923,0.0029797027818858624,0.005898011848330498,0.0007940871797318316
8,100.0,0.1610927913542566,0.5254662036895752,0.0037378049455583096,0.0072489045560359955,0.0007940871797318316
9,100.0,0.1547859658115515,0.288444846868515,0.002671194961294532,0.00537070631980896,0.0007940871797318316
10,100.0,0.14411152860447643,0.5319713354110718,0.0039956714026629925,0.007293636444956064,0.0007940871797318316
11,100.0,0.13701668129827652,0.295258104801178,0.0028081622440367937,0.005433766171336174,0.0007940871797318316
12,100.0,0.1320779256910832,0.2758972644805908,0.0026555268559604883,0.005252592731267214,0.0007940871797318316
13,100.0,0.1255147540355056,0.5151938199996948,0.0036789674777537584,0.007177700288593769,0.0007940871797318316
14,100.0,0.12190015722210602,0.2759902775287628,0.0026908800937235355,0.0052534774877130985,0.0007940871797318316
15,100.0,0.11683984977375228,0.29451245069503784,0.002782661933451891,0.005426900461316109,0.0007940871797318316
16,100.0,0.11719196937340334,0.3018445372581482,0.0028373203240334988,0.005494037643074989,0.0007940871797318316
17,100.0,0.11368026697379274,0.3400813043117523,0.0033762974198907614,0.005831648595631123,0.0007940871797318316
18,100.0,0.10990917779842274,0.2595102787017822,0.0025209581945091486,0.005094215273857117,0.0007940871797318316
19,100.0,0.1075390427559915,0.26303327083587646,0.002546203788369894,0.005128676537424326,0.0007940871797318316
20,100.0,0.10337835024163633,0.2660004496574402,0.002622910076752305,0.005157523322850466,0.0007940871797318316
21,100.0,0.10174810629404227,0.2764417827129364,0.0025792880915105343,0.005257773213088512,0.0007940871797318316
22,100.0,0.10014679838688097,0.4651891589164734,0.0035796426236629486,0.00682047801092267,0.0007940871797318316
23,100.0,0.09563963578845433,0.3156239986419678,0.0027903527952730656,0.005618042312562466,0.0007940871797318316
24,100.0,0.09721345730089795,0.2976430654525757,0.002759047318249941,0.005455667618662119,0.0007940871797318316
25,100.0,0.0937602893022071,0.6063533425331116,0.005327741149812937,0.007786869537085295,0.0007940871797318316
26,100.0,0.09382296484249594,0.4465451240539551,0.0040891640819609165,0.006682403385639191,0.0007940871797318316
