average_MAE_improvement_percent_vs_cpmlp,average_MAE_improvement_vs_cpmlp,average_Skill_MAE_vs_cpmlp,average_Skill_MAE_vs_persistence,avg_MAE_mean,avg_MAPE_percent_mean,avg_RMSE_mean,batch_size,dropout,dsconv_channels,epochs,gru_embed_dim,gru_hidden,horizons_evaluated,lr,mlp_embed_dim,model,model_hidden,output_dir,patience,score,selected,selection_rule,size_preset,std_MAE_mean,weight_decay,worst_MAE_mean
,,,0.7757087103980955,0.0039294405249327,0.4643306876127868,0.0079843632456615,64,0.3,64,50,64,64,2,0.0006360063822605648,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0043,12,0.00549149398231713,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0018065225323845,8.937530873906003e-06,0.0052068448579481
,,,0.7802768593019358,0.003898288047519,0.4553864111123485,0.0080212320357685,64,0.1,64,50,64,64,2,0.00018420838618716173,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0014,12,0.00549464342141049,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0020122795735767,4.078070386665447e-05,0.0053211845796383
,,,0.771228296975945,0.0039734230768987,0.4627971995783726,0.0086997346975512,64,0.05,128,80,64,64,2,0.0009441002487234633,128,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0022,12,0.0055199975175074505,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,xlarge,0.0016713530260319,7.885980825964086e-06,0.0051552481353625
,,,0.7749381377779505,0.0039501297275767,0.4606051002938679,0.0081370889504045,64,0.1,64,80,64,64,2,0.0006848080153807656,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0026,12,0.005527274415713591,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0018484043254208,2.843035458113006e-06,0.0052571489604563
,,,0.7734856446507137,0.0039662641396472,0.4620500707310416,0.0078632643151136,64,0.3,64,80,64,64,2,0.0003894931967470033,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0042,8,0.00554092809196067,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0018138925202293,6.094877385557263e-07,0.0052488798410449
,,,0.7778905905496961,0.0039397497929015,0.4645687040071646,0.0080472944270182,64,0.05,64,80,64,64,2,0.0005902254256103341,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0016,8,0.00555225855114104,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0020297915950146,2.784575154033668e-06,0.0053750291941318
,,,0.7772183955836764,0.0039460664514372,0.4582317001627563,0.0080330698794026,64,0.05,64,50,64,64,2,0.00025732364896990625,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0035,12,0.0055558714066995295,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0020081126413767,2.916505997859745e-06,0.0053660165175411
,,,0.7763116842437867,0.0039542365137713,0.4608057715521195,0.0082628690635301,128,0.05,64,50,64,64,2,0.0004190424160261303,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0034,12,0.005559920437923589,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0019771317014625,7.00348323051263e-05,0.0053522797471743
,,,0.7736210959377647,0.003981756378201,0.4687086108610558,0.0084433069576196,64,0.1,64,80,64,64,2,0.0007700948731664114,32,cpmlp_cpdsconv_fusion,128,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0019,12,0.0055796426933814,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,medium,0.0019014544547442,3.661672844774817e-07,0.005326287717268
,,,0.7745174353378073,0.0039812084724439,0.4660633844356781,0.0081408212708065,64,0.3,64,50,64,64,2,0.0005283968674360051,64,cpmlp_cpdsconv_fusion,256,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\search\cpmlp_cpdsconv_fusion\trial_0038,12,0.00559335248042182,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,large,0.0019694407189048,3.410371998533713e-05,0.0053738133599264
