stage,model,candidate_index,source_trial_number,search_score,confirm_score,batch_size,dropout,dsconv_channels,epochs,gru_embed_dim,gru_hidden,lr,mlp_embed_dim,model_hidden,patience,size_preset,weight_decay,avg_MAE_mean,avg_RMSE_mean,avg_MAPE_percent_mean,std_MAE_mean,worst_MAE_mean,average_Skill_MAE_vs_persistence,average_MAE_improvement_vs_cpmlp,average_MAE_improvement_percent_vs_cpmlp,average_Skill_MAE_vs_cpmlp,horizons_evaluated,selected,selection_rule,output_dir
confirm,cpmlp_cpdsconv_fusion,1,18,0.00513707779453586,0.00557034571009683,64,0.1,64,80,64,64,0.0005916560570546164,32,128,12,medium,1.227178136281113e-06,0.0040029750113793,0.008602802419525,0.4771228191824895,0.0017275947803751,0.0052245689957251,0.7785705953929132,0.0002800284610463,5.356857800704898,0.0535685780070489,2,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\confirm\cpmlp_cpdsconv_fusion\candidate_01_trial_0018
confirm,cpmlp_cpdsconv_fusion,3,11,0.00519126070127616,0.00559376198559587,64,0.1,64,80,64,64,0.0008170387533083236,32,128,12,medium,1.619766801300192e-05,0.0040048632382655,0.0087402454716626,0.4854517949991634,0.0018264086187029,0.0052963291577679,0.7796697881138962,0.0002645620338426,5.993854525880453,0.0599385452588045,2,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\confirm\cpmlp_cpdsconv_fusion\candidate_03_trial_0011
confirm,cpmlp_cpdsconv_fusion,2,24,0.00519051788042727,0.0056961417423709295,64,0.1,64,80,64,64,0.00043281262440769485,64,256,12,large,1.8876642848234293e-06,0.0040750010849683,0.0086524302535925,0.4815667887704711,0.0018792085463302,0.0054038021913421,0.7762640170724975,0.0002112006438634,4.461879703099845,0.0446187970309984,2,True,lowest_avg_validation_MAE_then_RMSE_MAPE_stdMAE_skill,outputs\matr_step7_sliding_l10_optuna_cpdsconv_h50_h100_wide\confirm\cpmlp_cpdsconv_fusion\candidate_02_trial_0024
