epoch,target_scale,train_scaled_delta_mse,val_scaled_delta_mse,val_MAE_reconstructed_soh,val_RMSE_reconstructed_soh,lr
1,100.0,2.5193699085424024,1.4694604873657227,0.006842219270765781,0.012122130952775478,6.907803691475433e-05
2,100.0,0.6923830520722174,0.7940694689750671,0.0044743698090314865,0.008911057375371456,6.907803691475433e-05
3,100.0,0.5333693867729556,0.6087876558303833,0.003913803957402706,0.007802484557032585,6.907803691475433e-05
4,100.0,0.4681268408413856,0.47074422240257263,0.0035164752043783665,0.006861079949885607,6.907803691475433e-05
5,100.0,0.4260240869176003,0.5378864407539368,0.003850821638479829,0.007334074005484581,6.907803691475433e-05
6,100.0,0.3895190747514848,0.48315638303756714,0.003462307620793581,0.0069509451277554035,6.907803691475433e-05
7,100.0,0.37655516569652864,0.5185104608535767,0.0034442718606442213,0.007200766820460558,6.907803691475433e-05
8,100.0,0.3393574229171199,0.5534663200378418,0.0037432764656841755,0.007439531851559877,6.907803691475433e-05
9,100.0,0.3183720586280669,0.627761960029602,0.0038907399866729975,0.007923142984509468,6.907803691475433e-05
10,100.0,0.3004611817338774,0.5773822665214539,0.0038011735305190086,0.007598567754030228,6.907803691475433e-05
11,100.0,0.29198781814306013,0.5238938331604004,0.0036845023278146982,0.007238051388412714,6.907803691475433e-05
12,100.0,0.2783483654741318,0.48213088512420654,0.003653940511867404,0.006943564396351576,6.907803691475433e-05
13,100.0,0.27083166116668334,0.6231881380081177,0.003999717067927122,0.007894227281212807,6.907803691475433e-05
14,100.0,0.25855212211608886,0.4429641664028168,0.003393805818632245,0.006655555684119463,6.907803691475433e-05
15,100.0,0.2573439847798117,0.46569982171058655,0.003810585243627429,0.006824220530688763,6.907803691475433e-05
16,100.0,0.24561489464775207,0.46451878547668457,0.0035946513526141644,0.006815561559051275,6.907803691475433e-05
17,100.0,0.24464187374518764,0.4202253222465515,0.0034640547819435596,0.00648247916251421,6.907803691475433e-05
18,100.0,0.23500623553991318,0.44772830605506897,0.0035333153791725636,0.006691250950098038,6.907803691475433e-05
19,100.0,0.22634081629014785,0.4128120541572571,0.0034485668875277042,0.0064250449649989605,6.907803691475433e-05
20,100.0,0.22993620778283766,0.4778590500354767,0.0037050123792141676,0.00691273482516408,6.907803691475433e-05
21,100.0,0.2222216711169289,0.4931681454181671,0.003790690563619137,0.007022593170404434,6.907803691475433e-05
22,100.0,0.21988481345676605,0.48609301447868347,0.0037343299482017756,0.00697203679010272,6.907803691475433e-05
