horizon,before_config,after_config,before_test_RMSE,after_test_RMSE,RMSE_gain_after_tuning,RMSE_gain_percent_after_tuning,before_test_MAE,after_test_MAE,MAE_gain_after_tuning,MAE_gain_percent_after_tuning,after_RMSE_improvement_percent_vs_persistence,after_MAE_improvement_percent_vs_persistence
10,pre_tuning_h10_base,optuna_gap20_h10_d82cdff636,0.01620040673770739,0.015926961089972644,0.00027344564773474495,1.687893718731668,0.007647313770055503,0.007122106514037227,0.0005252072560182758,6.867865917504572,10.735503672046605,19.06419519615219
50,pre_tuning_h50_base,optuna_gap20_h50_ada6c43285,0.049911729411565534,0.04515266140405576,0.004759068007509776,9.534969161791869,0.02829631100962433,0.027659639299445236,0.0006366717101790945,2.250016653982017,23.426568031911486,26.275937751453522
100,pre_tuning_h100_base,optuna_gap20_h100_c50f72368a,0.08051794246228533,0.07540184282823868,0.0051160996340466475,6.35398704635682,0.049027809558265245,0.04723634703842847,0.0017914625198367784,3.6539721761539896,31.219517164455755,33.197997403353014
